user_id,session_id,event_timestamp,event_name,page_title,page_location,traffic_source,medium,device_category,country,product_name,event_value,event_date,event_hour
U00001,S00001,2026-06-24 20:13:48.721158,page_view,Homepage,/home,email,paid,desktop,Canada,Not Applicable,0.0,2026-06-24,20
U00001,S00001,2026-06-24 20:15:48.721158,view_item,Product Page,/product,email,paid,desktop,Canada,Mesaerion: The Best Science Fiction Stories 1800-1849,0.0,2026-06-24,20
U00001,S00001,2026-06-24 20:17:48.721158,add_to_cart,Cart,/cart,email,paid,desktop,Canada,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-06-24,20
U00001,S00001,2026-06-24 20:20:48.721158,begin_checkout,Checkout,/checkout,email,paid,desktop,Canada,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-06-24,20
U00001,S00001,2026-06-24 20:23:48.721158,purchase,Purchase Confirmation,/purchase,email,paid,desktop,Canada,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-06-24,20
U00002,S00002,2026-07-01 02:41:48.721158,page_view,Homepage,/home,google,paid,mobile,Germany,Not Applicable,0.0,2026-07-01,2
U00002,S00002,2026-07-01 02:43:48.721158,view_item,Product Page,/product,google,paid,mobile,Germany,Tipping the Velvet,0.0,2026-07-01,2
U00002,S00002,2026-07-01 02:45:48.721158,add_to_cart,Cart,/cart,google,paid,mobile,Germany,Tipping the Velvet,53.74,2026-07-01,2
U00002,S00002,2026-07-01 02:48:48.721158,begin_checkout,Checkout,/checkout,google,paid,mobile,Germany,Tipping the Velvet,53.74,2026-07-01,2
U00003,S00003,2026-06-13 00:35:48.721158,page_view,Homepage,/home,direct,email,desktop,United Kingdom,Not Applicable,0.0,2026-06-13,0
U00004,S00004,2026-06-28 14:45:48.721158,page_view,Homepage,/home,facebook,social,desktop,United Kingdom,Not Applicable,0.0,2026-06-28,14
U00005,S00005,2026-06-20 10:03:48.721158,page_view,Homepage,/home,referral,email,mobile,Germany,Not Applicable,0.0,2026-06-20,10
U00005,S00005,2026-06-20 10:05:48.721158,view_item,Product Page,/product,referral,email,mobile,Germany,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,0.0,2026-06-20,10
U00006,S00006,2026-06-05 12:36:48.721158,page_view,Homepage,/home,linkedin,social,desktop,United States,Not Applicable,0.0,2026-06-05,12
U00007,S00007,2026-06-17 12:10:48.721158,page_view,Homepage,/home,referral,social,mobile,Canada,Not Applicable,0.0,2026-06-17,12
U00008,S00008,2026-06-29 01:53:48.721158,page_view,Homepage,/home,direct,referral,desktop,Germany,Not Applicable,0.0,2026-06-29,1
U00008,S00008,2026-06-29 01:55:48.721158,view_item,Product Page,/product,direct,referral,desktop,Germany,Tipping the Velvet,0.0,2026-06-29,1
U00009,S00009,2026-05-31 21:37:48.721158,page_view,Homepage,/home,facebook,email,mobile,United States,Not Applicable,0.0,2026-05-31,21
U00009,S00009,2026-05-31 21:39:48.721158,view_item,Product Page,/product,facebook,email,mobile,United States,Sharp Objects,0.0,2026-05-31,21
U00010,S00010,2026-06-06 13:11:48.721158,page_view,Homepage,/home,linkedin,organic,mobile,Canada,Not Applicable,0.0,2026-06-06,13
U00010,S00010,2026-06-06 13:13:48.721158,view_item,Product Page,/product,linkedin,organic,mobile,Canada,Rip it Up and Start Again,0.0,2026-06-06,13
U00010,S00010,2026-06-06 13:15:48.721158,add_to_cart,Cart,/cart,linkedin,organic,mobile,Canada,Rip it Up and Start Again,35.02,2026-06-06,13
U00011,S00011,2026-06-06 13:48:48.721158,page_view,Homepage,/home,linkedin,none,tablet,United Kingdom,Not Applicable,0.0,2026-06-06,13
U00012,S00012,2026-06-03 00:49:48.721158,page_view,Homepage,/home,linkedin,paid,mobile,United States,Not Applicable,0.0,2026-06-03,0
U00012,S00012,2026-06-03 00:51:48.721158,view_item,Product Page,/product,linkedin,paid,mobile,United States,Soumission,0.0,2026-06-03,0
U00012,S00012,2026-06-03 00:53:48.721158,add_to_cart,Cart,/cart,linkedin,paid,mobile,United States,Soumission,50.1,2026-06-03,0
U00012,S00012,2026-06-03 00:56:48.721158,begin_checkout,Checkout,/checkout,linkedin,paid,mobile,United States,Soumission,50.1,2026-06-03,0
U00012,S00012,2026-06-03 00:59:48.721158,purchase,Purchase Confirmation,/purchase,linkedin,paid,mobile,United States,Soumission,50.1,2026-06-03,0
U00013,S00013,2026-06-26 20:03:48.721158,page_view,Homepage,/home,email,organic,mobile,Poland,Not Applicable,0.0,2026-06-26,20
U00013,S00013,2026-06-26 20:05:48.721158,view_item,Product Page,/product,email,organic,mobile,Poland,Sharp Objects,0.0,2026-06-26,20
U00014,S00014,2026-06-09 18:11:48.721158,page_view,Homepage,/home,direct,none,desktop,United States,Not Applicable,0.0,2026-06-09,18
U00015,S00015,2026-06-24 22:52:48.721158,page_view,Homepage,/home,google,organic,mobile,Germany,Not Applicable,0.0,2026-06-24,22
U00015,S00015,2026-06-24 22:54:48.721158,view_item,Product Page,/product,google,organic,mobile,Germany,Soumission,0.0,2026-06-24,22
U00016,S00016,2026-06-04 17:33:48.721158,page_view,Homepage,/home,referral,email,mobile,United States,Not Applicable,0.0,2026-06-04,17
U00016,S00016,2026-06-04 17:35:48.721158,view_item,Product Page,/product,referral,email,mobile,United States,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),0.0,2026-06-04,17
U00016,S00016,2026-06-04 17:37:48.721158,add_to_cart,Cart,/cart,referral,email,mobile,United States,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-06-04,17
U00017,S00017,2026-06-02 01:50:48.721158,page_view,Homepage,/home,direct,social,desktop,Germany,Not Applicable,0.0,2026-06-02,1
